player_id,team,player,interceptionsAVG,interceptionsINT,interceptionsTD,interceptionsYDS,kickReturnsAVG,kickReturnsLONG,kickReturnsNO,kickReturnsTD,kickReturnsYDS,kickingFGA,kickingFGM,kickingLONG,kickingPCT,kickingPTS,kickingXPA,kickingXPM,passingATT,passingCOMPLETIONS,passingINT,passingPCT,passingTD,passingYDS,passingYPA,puntReturnsAVG,puntReturnsLONG,puntReturnsNO,puntReturnsTD,puntReturnsYDS,puntingIn 20,puntingLONG,puntingNO,puntingTB,puntingYDS,puntingYPP,receivingLONG,receivingREC,receivingTD,receivingYDS,receivingYPR,rushingCAR,rushingLONG,rushingTD,rushingYDS,rushingYPC
-7111,Pittsburgh, Team,,,,,,,,,,,,,,,,,,,,,,,,-3.0,0.0,1.0,0.0,-3.0,,,,,,,,,,,,1.0,0.0,0.0,-4.0,-4.0
-7088,Penn State, Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,-7.0,-3.5
-7014,Ohio State, Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,-1.0,-1.0
-6965,Notre Dame, Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,-4.0,-2.0
-6810,Navy, Team,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
-6530,Marshall, Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,-9.0,-3.0
-5995,Florida State, Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,-6.0,-3.0
-5151,Akron, Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,-4.0,-1.3
-5,UAB, Team,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.0,0.0,0.0,-9.0,-1.5
12047,Stanford,Jamien McCullum,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,
13223,Fresno State,Justin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.666666666666668,6.0,0.6666666666666666,60.0,12.866666666666667,,,,,
